customer,realtor,invested,at_maturity,start_date,maturity_date,status
DR BUKOLA ADEYEMI,QUEEN OLIJE REALTY,10600000,13172514,2025-12-03,2026-12-03,active
MR KELECHI AKINTOLA,QUEEN OLIJE REALTY,10500000,14613355,2026-08-08,2026-12-06,active
MISS CHIAMAKA FAGBEMI,ARINOLA,3900000,4834234,2026-06-12,2026-12-09,active
MISS RUKAYAT TIJANI,HAFBAM,13800000,17069556,2026-06-15,2026-12-12,active
SEGUN ELUEMUNOR,HAFBAM GLOBAL LTD,47500000,58499199,2026-08-17,2026-12-15,active
DR UCHECHI OKAFOR,HAFBAM,46000000,60359827,2026-03-23,2026-12-18,active
MISS BUKOLA ONYEKA,HAFBAM,19200000,23432362,2025-12-21,2026-12-21,active
MRS PRECIOUS SHOYEBO,ZIKAN,49700000,72374173,2026-03-29,2026-12-24,active
MISS TITILAYO MADUEKE,HAFBAM,44000000,55827405,2026-08-29,2026-12-27,active
ADEWALE OLANIYAN,QUEEN OLIJE REALTY,16400000,23764149,2026-09-01,2026-12-30,active
MISS MARYAM SANUSI,QUEEN OLIJE REALTY,45600000,62111311,2026-10-03,2027-01-01,active
IBRAHIM CHUKWU,MADAM ALICE,17700000,21471055,2026-04-09,2027-01-04,active
AISHA TIJANI,QUEEN,5800000,6899187,2026-07-11,2027-01-07,active
MRS FUNMILAYO IBEKWE,PRING CITY REALTORS AND ESTATE LIMITED,13200000,15707721,2026-10-12,2027-01-10,active
DR KELECHI NWOSU,ZIKAN,4500000,6103203,2026-04-18,2027-01-13,active
DR NKECHI OYELARAN,ARINOLA,7600000,10894365,2026-04-21,2027-01-16,active
KELECHI ILOABACHIE,HAFBAM GLOBAL LTD,21400000,27564247,2026-09-21,2027-01-19,active
DR YETUNDE ABUBAKAR,SOPHIA,2400000,3408636,2026-09-24,2027-01-22,active
DR CHIOMA BALOGUN,PRING CITY REALTORS AND ESTATE LIMITED,17900000,21653598,2026-04-30,2027-01-25,active
MR BABATUNDE ARIYIBI,HAFBAM,19900000,29240275,2026-05-03,2027-01-28,active
MR SAMUEL OKORIE,HAFBAM GLOBAL LTD,61400000,79170285,2026-10-02,2027-01-30,active
MISS PRECIOUS TIJANI,NAS,9700000,13023485,2026-10-05,2027-02-02,active
CHIOMA SALAMI,BANIRE ADETOUN ELIZABETH,32100000,39574262,2026-05-11,2027-02-05,active
MRS OLAMIDE NWACHUKWU,HAFBAM,900000,1337194,2026-02-08,2027-02-08,active
MR OKECHUKWU NWOSU,QUEEN OLIJE REALTY,34100000,43848608,2026-08-15,2027-02-11,active
MR OLUMIDE OKAFOR,EGO,800000,1035930,2026-11-16,2027-02-14,active
